Country_ID,Year1982,Year1983,Year1984,Year1985,Year1986,Year1987,Year1988,Year1989,Year1990,Year1991,Year1992,Year1993,Year1994,Year1995,Year1996,Year1997,Year1998,Year1999,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,Year2023,Avg_Change
AFG,271.1988674,271.1988674,269.6298118,271.0053707,270.8235829,273.2711123,272.5678063,268.713584,272.0057611,270.506193,271.5997786,268.7431584,272.1199727,271.3122843,268.9668895,272.1467372,271.0571137,272.6390895,272.4303952,270.8242379,273.062132,273.9994913,274.0113238,270.0354063,270.7360328,270.8790705,266.1894848,272.3124219,274.3842087,272.5036598,270.0780761,271.3016951,272.5456936,273.7818507,274.1106651,272.5686525,274.0471917,273.5725494,270.4750666,272.0247405,272.7009938,268.6573807,0.1998713144
AGO,292.8170957,293.1640202,293.2326223,292.1105984,292.6606228,292.5691508,293.6621171,293.1424145,293.9108979,293.3873148,292.841604,292.9276128,292.567447,293.249488,293.1763995,293.8805806,293.956981,293.6031645,293.4244863,293.3388739,293.4389514,293.4839143,292.7611238,293.4737249,293.3252328,292.8462206,292.5423217,294.1065476,292.9573329,292.9789477,293.4562689,293.6015448,293.8688626,293.5643595,293.506709,294.0982306,293.5097549,293.7711351,293.2166799,293.2371877,292.9448312,293.8391224,0.04868168874
ALB,277.8376615,277.8376615,278.2725975,276.3500181,277.5000305,276.9524246,279.7251732,276.1419002,276.2699045,276.1604389,276.0888932,275.4967656,278.9290466,276.6131652,277.9169777,278.8959135,278.6499189,277.1749953,272.8716491,279.5199345,275.3443969,278.6427142,275.7731854,276.2742014,274.4750366,278.8850463,277.3961357,277.9099857,277.6477321,277.0431013,274.7081094,278.0759177,280.1226657,277.1816371,277.7605506,273.9816059,278.6826657,275.0966657,277.4753283,278.3990849,276.7972837,279.3590568,0.1768540631
ALG,284.9556092,284.9556092,283.8932955,283.859164,284.15178,284.6229594,285.7297973,283.3672292,284.4834322,283.9676051,283.0667306,283.2602549,284.6023117,283.1148734,287.3105562,286.3246087,285.7193487,284.420143,283.445722,285.4522072,284.5123336,285.151441,285.4493869,283.038557,283.5479982,286.1336665,284.3268851,285.056475,287.1562433,286.6269796,283.7953359,285.0621382,286.430356,284.3350333,287.3150482,283.2641067,286.5262015,284.1085637,285.1207209,287.2851572,284.5390126,285.1993199,0.1043046617
ARG,279.6322217,278.1852162,277.4772321,281.7179899,281.3271446,281.4093033,280.0352696,281.7679466,280.3362579,280.0065378,280.3206901,280.251754,281.7749221,280.3572636,279.2385123,280.8282763,281.2248373,279.82651,280.4241462,280.8991265,278.5202897,282.2794424,281.8608321,281.2886642,281.6196041,279.9142059,279.8030535,280.7885968,280.9500074,280.5061448,280.6787053,281.9494963,280.8743012,282.2472546,279.6376112,280.8558893,279.5555319,281.9934196,280.9815198,280.5765036,279.58791,281.96752,0.1171270817
ARM,266.209883,266.209883,269.6763733,267.9928265,267.7992629,270.4976018,266.7117371,263.7823345,264.8834895,267.2524057,263.2860896,264.8691289,269.5057476,268.335829,267.2688622,268.914055,266.4453153,270.6862215,266.3955257,268.1891977,266.1920556,268.3348074,268.0898344,266.7134202,265.2945777,266.4926805,261.7030776,266.52881,271.1937688,268.331343,268.4067096,268.35331,268.6838318,269.0056645,267.6916687,264.2925913,270.2473558,268.7453026,267.8958102,268.212892,267.0108469,268.9143348,0.2314802732
AUS,286.534089,288.0973142,287.9443321,287.0382315,288.2451069,288.6619119,288.7106717,286.7334151,287.2616692,289.4286762,287.9401859,287.6289351,287.8884171,288.1168085,289.8379275,287.7299221,288.1585872,288.0116429,286.7598724,288.1513114,287.9551506,288.3806848,288.2699469,288.5836417,286.6948775,286.1210106,288.6721814,288.2611746,287.9194406,287.0553421,287.0324849,288.203859,287.9912952,288.9165516,288.6669966,288.0047491,287.8660367,287.8683373,288.6238793,287.7201262,287.9859661,288.3860622,0.09065651204
AUT,267.7452608,267.7452608,269.3514087,264.1346052,268.3109588,265.3676877,271.6449154,269.9105591,269.3363972,268.9063566,269.89772,270.9345303,272.2088985,268.3358656,268.5641863,269.2636301,270.6509923,269.9308657,267.3559727,269.8640896,269.289974,268.5976844,268.2649408,269.4568536,266.5302901,273.8744541,272.4681403,267.9263903,267.6549514,269.9260625,270.5768039,270.780396,272.7760073,271.8878984,270.712798,266.0371743,273.1431148,269.4016978,271.4618954,269.6161417,271.547353,272.5340474,0.2375572882
AZE,272.2549402,272.2549402,274.4983295,273.1416466,274.2586271,275.4600276,272.6241915,271.143665,271.3522939,272.7248238,271.2411842,271.2214972,274.3204128,274.368474,272.3216667,273.5423477,272.5312792,274.9562972,272.5231193,272.624294,272.0891098,274.2592193,275.2807188,273.6715576,271.2371094,274.1119325,268.2479847,272.4720152,276.0170097,274.3821019,273.0967749,274.9862805,274.2672378,274.3146783,273.849916,272.6790866,274.4522444,275.0268289,273.9288421,274.2765516,273.7797536,273.4116013,0.1894884143
BDI,292.8763782,293.6742849,292.6344752,292.5324884,292.4145774,292.9558795,293.4275798,292.5469055,293.5299387,293.4102074,292.9410952,293.2019407,293.1383431,293.4334362,293.1635358,293.1292193,293.5842925,292.937566,293.3030238,292.5349377,293.1886282,292.870508,293.0814957,293.2113244,292.792697,292.6681253,292.7160891,293.3514581,293.8861084,293.5721239,292.8948522,293.4341923,294.039093,294.0147892,293.7285186,294.2575408,293.4143303,293.8421326,294.2320566,294.0172641,293.4795198,294.7536089,0.05704955094
