Country_ID,Avg_Change_Veg_Presence
AFG,0
AGO,0
ALB,-0.7256164395
ALG,0
ARG,0
ARM,-0.9072739957
AUS,0
AUT,-0.8710089845
AZE,-1.023617192
BAR,-1.017180753
BDI,0
BEL,-0.8896496927
BEN,-0.894162954
BFA,-0.7959424271
BGD,-0.9653858776
BGR,0
BHR,-1.12241033
BHS,-1.000269366
BHU,-0.8951847076
BIH,-0.9461590277
BLR,-0.712492719
BLZ,-0.9530013164
BOL,0
BRA,0
BRN,-0.7447603646
BWA,0
CAF,-1.014301094
CAN,0
CBV,-0.9670557858
CDI,-0.8836156648
CHL,-0.7393784608
CHN,0
CMR,0
COD,0
COG,0
COL,-0.6878242598
CRI,-0.9174331679
CRO,-0.903569858
CUB,-0.7929197865
CYP,0
CZE,-1.031430172
DEU,-0.7146322947
DJI,-0.8241315071
DNK,-0.9695991275
DOM,-1.168376915
ECU,0
EGY,0
ERT,-0.8608874101
ESA,-0.8599444389
ESP,0
EST,-1.002991648
ESW,0
ETH,-0.7372909863
FIN,-1.074720299
FRA,-0.9472100109
FSM,-0.8453572309
GAB,0
GBR,-0.7997494025
GEO,-0.8649939662
GHA,-0.7071511497
GIN,0
GMB,0
GNB,-0.8544253959
GNQ,-0.8383030035
GRC,0
GUA,-0.8211383473
GUY,-0.851524124
HAI,-0.9300625154
HND,-0.9465338411
HUN,-0.9086693091
ICL,-1.026209558
IDN,0
IND,-0.8493799969
IRL,-1.022048595
IRN,0
IRQ,0
ISR_PSE,0
ITA,-0.9339799812
JAM,-0.9453060324
JOR,0
JPN,-0.8550275267
KAZ,0
KEN,0
KGZ,-1.024657071
KHM,-0.8889849692
KWT,-0.7834724771
LAO,-0.9757393166
LBN,0
LBR,-0.8242473514
LBY,0
LKA,-0.9928792555
LSO,0
LTU,-0.9279577552
LUX,-0.9778080482
LVA,-1.127061863
MAR,0
MDA,0
MDG,0
MEX,0
MKD,-0.9923206705
MLI,0
MMR,-0.724764081
MNE,0
MNG,0
MOZ,0
MRT,-0.7961247118
MUS,-1.017245096
MWI,0
MYS,-0.6932911097
NAM,0
NER,-0.7211670689
NGA,-0.7603068984
NIC,-0.9142178871
NKO,-0.9303748993
NLD,-0.8709225365
NOR,-1.053996488
NPL,-0.8065896849
NZL,0
OMN,-0.7855166995
PAK,-0.6858992208
PAN,-0.93177958
PER,0
PHL,-0.8043159137
PNG,0
POL,-0.8476199116
PRT,0
PRY,-1.530177895
QAT,-0.8611873326
ROU,-0.8457068062
RUS,0
RWA,-1.053254225
SAF,0
SAU,0
SDN,-1.021625952
SEN,0
SKO,-1.07787636
SLB,0
SLE,-0.7866996932
SOM,-0.7992456922
SRB,-0.9911180174
SSD,0
STP,-0.9689654434
SUI,-0.8887513667
SUR,-1.498799617
SVK,-0.9636405694
SVN,-0.9682469234
SWE,-1.107491261
SYC,-1.311618805
SYR,0
TCD,0
TGO,-1.043918127
THA,-0.8935581066
TJK,-0.9281221697
TKM,0
TLS,0
TTO,-0.9510647255
TUN,-0.6764827356
TUR,0
TZA,0
UAE,-0.6796624664
UGA,0
UKR,0
URY,0
USA,0
UZB,-0.6871707008
VEN,0
VNM,-0.8284337098
YEM,-0.7998243669
ZMB,0
ZWE,0
