State_ID,outcome_var,T_SUM,V_LOW,P_DRT,T_WIN,C_WET
AFG,1,-1.160651763,1.190828123,0.188476486,0.663773992,-1.865171356
AGO,1,-1.030420527,1.190828123,-0.144542376,-0.925066869,4.040790267
ALB,0,-1.095553725,-0.399957644,-0.144542376,0.42188736,-1.717522315
ALG,1,0.730616049,1.190828123,-0.133876291,-0.340529062,0.571037814
ARG,0,0.272616275,1.190828123,0.57364065,-0.205779176,-1.865171356
ARM,0,-1.160651763,-0.798209723,-0.144542376,0.995950258,-1.865171356
AUS,0,1.59904924,1.190828123,0.520310227,-0.483956481,-1.865171356
AUT,0,-0.508719388,-0.718705097,-0.144542376,1.059813169,-1.865171356
AZE,1,0.931105095,-1.053271613,-0.144542376,0.554660844,-1.865171356
BDI,1,-1.160651763,1.190828123,-0.122025086,-0.837129609,-1.569873275
BEL,0,0.274181351,-0.759571554,-0.144542376,0.994948944,-1.865171356
BEN,1,-0.639876574,-0.769466081,-0.144542376,-0.533641316,4.188439308
BFA,1,1.387142922,-0.55413494,-0.144542376,-0.276302311,-1.569873275
BGD,1,-0.574688447,-0.925609751,-0.140987014,-0.652209616,-1.865171356
BGR,0,-1.160651763,1.190828123,-0.144542376,1.070535422,-1.717522315
BHR,0,-0.705027848,-1.269858103,-0.105433399,-0.298477811,-1.865171356
BHS,0,0.079522822,-1.002085632,-0.144542376,-0.678866101,-1.766738662
BHU,1,-1.160651763,-0.771706096,-0.142172135,-0.379251446,-1.865171356
BIH,1,-0.835091253,-0.883458281,-0.144542376,1.066959234,-1.865171356
BLR,1,-1.160651763,-0.371186207,-0.144542376,3.01291737,-1.865171356
BLZ,0,1.382056427,-0.89845879,-0.144542376,-0.788338994,-1.865171356
BOL,0,1.584115018,1.190828123,-0.094767315,-0.464020895,-1.865171356
BRA,0,-0.900300411,1.190828123,0.234696186,-0.859553162,-1.865171356
BRN,0,0.271653687,-0.441927316,-0.144542376,-0.860567716,4.336088348
BWA,0,0.99277144,1.190828123,-0.144542376,-0.43861184,-1.569873275
CAF,1,0.990536544,-1.032847715,-0.144542376,-0.353765298,3.893141227
CAN,0,1.199278961,1.190828123,1.091538311,1.769148919,-1.865171356
CBV,0,-1.160651763,-0.929270729,-0.144542376,-0.722613118,-1.422224234
CDI,1,0.467143492,-0.746343014,-0.144542376,-1.026721647,4.188439308
CHL,0,1.597529785,-0.430128443,-0.033141048,-0.494320846,-1.865171356
CHN,0,-1.160651763,1.190828123,0.073519797,-0.152988619,-1.865171356
CMR,1,1.185630791,1.190828123,-0.144542376,-0.531711892,3.302545064
COD,1,0.662524292,1.190828123,-0.061583941,-0.919037513,0.447996947
COG,1,-0.57470722,1.190828123,-0.13150605,-0.919030843,1.013984935
COL,0,1.586397403,-0.317104971,-0.144542376,-0.69602683,2.022920046
CRI,0,-1.160651763,-0.820481912,-0.144542376,-0.937636997,-1.422224234
CRO,1,0.077552254,-0.790089056,-0.144542376,0.965083796,-1.865171356
CUB,1,1.315831682,-0.547508335,-0.144542376,-0.581161645,-1.865171356
CYP,0,-1.030417917,1.190828123,-0.144542376,-0.105900575,-1.865171356
CZE,0,-0.769442743,-1.070400191,-0.144542376,1.384878512,-1.865171356
DEU,0,0.278193288,-0.375876849,-0.144542376,1.338645765,-1.865171356
DJI,1,-0.183961527,-0.615934514,-0.144542376,-0.90978399,-1.422224234
DNK,0,0.083631864,-0.934846556,-0.144542376,1.116339351,-1.865171356
DOM,0,-0.053645486,-1.370631715,-0.144542376,-0.910658519,0.054266172
ECU,1,-1.160651763,1.190828123,-0.144542376,-0.819021889,4.188439308
EGY,1,-1.095531029,1.190828123,-0.105433399,-0.03997352,-1.865171356
ERT,1,-1.160651763,-0.696515334,-0.144542376,-0.468400355,-1.865171356
ESA,1,1.380485564,-0.694448036,-0.144542376,-0.816517712,-1.865171356
ESP,0,-0.248236542,1.190828123,-0.144542376,-0.179872181,-0.019558349
EST,0,-1.095513575,-1.008053754,-0.144542376,3.375268943,-1.865171356
ESW,1,1.580179981,1.190828123,-0.144542376,-0.600239956,-1.569873275
ETH,1,0.794215864,-0.425552024,-0.144542376,-0.886672593,-1.569873275
FIN,0,-1.160651763,-1.165306141,-0.112544122,2.845442615,-1.865171356
FRA,0,1.253517537,-0.885762376,-0.144542376,0.806682568,-1.865171356
FSM,1,-1.160651763,-0.662468162,4.23E-05,-1.157827063,3.597843146
GAB,0,0.337300601,1.190828123,-0.140987014,-0.925195519,3.450194105
GBR,0,1.129944263,-0.56248106,-0.144542376,-0.045820427,-1.865171356
GEO,1,-1.160651763,-0.705518232,-0.144542376,0.451072784,-1.865171356
GHA,1,0.98914909,-0.359475761,-0.144542376,-0.838162258,4.188439308
GIN,1,1.185237082,1.190828123,-0.144542376,-0.709566634,-0.536329991
GMB,1,-1.095537583,1.190828123,-0.144542376,-0.487794036,-1.717522315
GNB,1,-0.314291454,-0.68234851,-0.144542376,-0.733503024,-0.536329991
GNQ,1,-1.160651763,-0.647003015,-0.144542376,-0.901479156,3.154896024
GRC,0,-1.030436539,1.190828123,-0.144542376,0.02157874,-1.717522315
GUA,1,1.58573497,-0.609372541,-0.144542376,-0.719823952,-1.865171356
GUY,0,-1.160651763,-0.675987985,-0.144542376,-0.997435277,1.678405618
HAI,1,1.588635728,-0.848169523,-0.144542376,-0.860712426,-1.274575193
HND,0,0.207128713,-0.884279993,-0.144542376,-0.883132099,-1.865171356
HUN,1,-0.768839974,-0.801268701,-0.144542376,1.415594141,-1.865171356
ICL,0,-0.574360713,-1.058954917,0.067594195,0.371092416,-1.865171356
IDN,1,1.054101724,1.190828123,-0.113729243,-1.104507676,-1.865171356
IND,1,0.664022173,-0.671287365,0.578381132,-0.776524605,-1.791346835
